	German	English	Category
0	Hund	dog	animal
1	Pferd	horse	animal
2	Ente	duck	animal
3	Adler	eagle	animal
4	Katze	cat	animal
5	Löwe	lion	animal
6	Maus	mouse	animal
7	Bär	bear	animal
8	Wolf	wolf	animal
9	Schaf	sheep	animal
10	Rücken	back	body
11	Arm	arm	body
12	Auge	eye	body
13	Bein	leg	body
14	Ohr	ear	body
15	Mund	mouth	body
16	Zehe	toe	body
17	Finger	finger	body
18	Nase	nose	body
19	Lippen	lips	body
20	Kirche	church	building
21	Straße	road	building
22	Fabrik	factory	building
23	Schloss	castle	building
24	Brücke	bridge	building
25	Gefängnis	prison	building
26	Turm	tower	building
27	Bibliothek	library	building
28	Museum	museum	building
29	Tempel	temple	building
30	König	king	human
31	Soldat	soldier	human
32	Polizist	police officer	human
33	Gefangener	prisoner	human
34	Priester	priest	human
35	Lehrer	teacher	human
36	Arzt	medical doctor	human
37	Richter	judge	human
38	Kind	child	human
39	Feuer	fire	nature
40	Fluss	river	nature
41	Insel	island	nature
42	Meer	sea	nature
43	Park	park	nature
44	Berg	mountain	nature
45	Fels	rock	nature
46	Welle	wave	nature
47	Wolke	cloud	nature
48	Nest	nest	nature
49	Buch	book	tool
50	Ball	ball	tool
51	Säge	saw	tool
52	Ring	ring	tool
53	Schere	scissors	tool
54	Bohrer	drill	tool
55	Löffel	spoon	tool
56	Schaufel	shovel	tool
57	Kamm	comb	tool
58	Auto	car	vehicle
59	Ideologie	ideology	abstract_high
60	Timing	timing	abstract_high
61	Schätzung	estimate	abstract_high
62	Vorteil	advantage	abstract_high
63	Geschichte	history	abstract_high
64	Alter	age	abstract_high
65	Phänomen	phenomenon	abstract_high
66	Inflation	inflation	abstract_high
67	Schönheit	beauty	abstract_high
68	Schicksal	destiny	abstract_high
69	Erfahrung	experience	abstract_high
70	Logik	logic	abstract_high
71	Ruf	reputation	abstract_high
72	Verdienst	merit	abstract_high
73	Bedeutung	meaning	abstract_high
74	Veränderung	change	abstract_high
75	Anzahl	number	abstract_high
76	Jugend	youth	abstract_high
77	Problem	problem	abstract_high
78	Freiheit	freedom	abstract_high
79	Geld	money	abstract_high
80	Demokratie	demokracy	abstract_high
81	Investition	investment	abstract_high
82	Wille	will	abstract_high
83	Zauber	spell	abstract_high
84	Pause	break	abstract_high
85	Leistung	power	abstract_high
86	Information	information	abstract_high
87	Macht	power	abstract_high
88	Sinn	sense	abstract_high
89	Morgen	morning	abstract_mid
90	Armee	army	abstract_mid
91	Bakterie	bacteria	abstract_mid
92	Sauerstoff	oxygen	abstract_mid
93	Preis	price	abstract_mid
94	Ausdruck	expression	abstract_mid
95	Abend	evening	abstract_mid
96	Infektion	infection	abstract_mid
97	Internet	internet	abstract_mid
98	Mannschaft	team	abstract_mid
99	Reibung	friction	abstract_mid
100	Größe	size	abstract_mid
101	Lied	song	abstract_mid
102	Spiel	play	abstract_mid
103	Anhang	attachment	abstract_mid
104	Natur	nature	abstract_mid
105	Eintrag	entry	abstract_mid
106	Jagd	hunting	abstract_mid
107	Musik	music	abstract_mid
108	Spiel	play	abstract_mid
109	Druck	pressure	abstract_mid
110	Gewicht	weight	abstract_mid
111	Rede	speech	abstract_mid
112	Ausbruch	eruption	abstract_mid
113	Gedicht	poem	abstract_mid
114	Hintergrund	background	abstract_mid
115	Werk	work	abstract_mid
116	Beweis	proof	abstract_mid
117	Gen	gene	abstract_mid
